"zip","population","city","county"
"37013",99800,"Antioch","Davidson County"
"37042",83409,"Clarksville","Montgomery County"
"37211",74389,"Nashville","Davidson County"
"37128",73657,"Murfreesboro","Rutherford County"
"37075",72102,"Hendersonville","Sumner County"
"38401",65393,"Columbia","Maury County"
"37122",65251,"Mount Juliet","Wilson County"
"37064",63374,"Franklin","Williamson County"
"37167",62284,"Smyrna","Rutherford County"
"37027",62116,"Brentwood","Williamson County"
"37129",60448,"Murfreesboro","Rutherford County"
"37040",60377,"Clarksville","Montgomery County"
"37066",59554,"Gallatin","Sumner County"
"37130",58119,"Murfreesboro","Rutherford County"
"38017",55570,"Collierville","Shelby County"
"37043",55127,"Clarksville","Montgomery County"
"37087",53068,"Lebanon","Wilson County"
"38305",52527,"Jackson","Madison County"
"37421",52507,"Chattanooga","Hamilton County"
"37174",47859,"Spring Hill","Maury County"
"38016",46394,"Cordova","Shelby County"
"37918",45741,"Knoxville","Knox County"
"38109",45204,"Memphis","Shelby County"
"38128",44400,"Memphis","Shelby County"
"37343",44039,"Hixson","Hamilton County"
"37221",43400,"Nashville","Davidson County"
"38125",43305,"Memphis","Shelby County"
"38002",42797,"Arlington","Shelby County"
"38134",42789,"Memphis","Shelby County"
"37920",42537,"Knoxville","Knox County"
"38111",42322,"Memphis","Shelby County"
"38501",41930,"Cookeville","Putnam County"
"37115",41926,"Madison","Davidson County"
"38127",40565,"Memphis","Shelby County"
"38116",40212,"Memphis","Shelby County"
"37363",40195,"Ooltewah","Hamilton County"
"37207",40144,"Nashville","Davidson County"
"37660",39481,"Kingsport","Sullivan County"
"37922",39373,"Knoxville","Knox County"
"38118",39373,"Memphis","Shelby County"
"38018",38338,"Cordova","Shelby County"
"37620",38245,"Bristol","Sullivan County"
"37601",38223,"Johnson City","Washington County"
"37209",38126,"Nashville","Davidson County"
"37076",38095,"Hermitage","Davidson County"
"37312",37452,"Cleveland","Bradley County"
"37604",37090,"Johnson City","Washington County"
"37086",36772,"La Vergne","Rutherford County"
"38115",36574,"Memphis","Shelby County"
"37160",36057,"Shelbyville","Bedford County"
"37814",34894,"Morristown","Hamblen County"
"37643",33773,"Elizabethton","Carter County"
"38301",33459,"Jackson","Madison County"
"37110",33384,"Mcminnville","Warren County"
"37803",33061,"Maryville","Blount County"
"37876",32489,"Sevierville","Sevier County"
"37072",32364,"Goodlettsville","Davidson County"
"37830",32164,"Oak Ridge","Anderson County"
"37067",31953,"Franklin","Williamson County"
"37214",31752,"Nashville","Davidson County"
"37923",31364,"Knoxville","Knox County"
"37323",31188,"Cleveland","Bradley County"
"37172",31173,"Springfield","Robertson County"
"37919",30956,"Knoxville","Knox County"
"38135",30917,"Memphis","Shelby County"
"37931",30463,"Knoxville","Knox County"
"37217",30450,"Nashville","Davidson County"
"37206",29389,"Nashville","Davidson County"
"38506",29243,"Cookeville","Putnam County"
"37355",29152,"Manchester","Coffee County"
"37849",29022,"Powell","Knox County"
"37311",28995,"Cleveland","Bradley County"
"37664",28804,"Kingsport","Sullivan County"
"37379",28593,"Soddy Daisy","Hamilton County"
"37921",28571,"Knoxville","Knox County"
"37055",28161,"Dickson","Dickson County"
"37659",28040,"Jonesborough","Washington County"
"37934",27675,"Farragut","Knox County"
"37804",27224,"Maryville","Blount County"
"37388",27036,"Tullahoma","Coffee County"
"37801",27006,"Maryville","Blount County"
"38117",26430,"Memphis","Shelby County"
"37716",26391,"Clinton","Anderson County"
"38024",25767,"Dyersburg","Dyer County"
"37205",25711,"Nashville","Davidson County"
"38053",25556,"Millington","Shelby County"
"38138",25465,"Germantown","Shelby County"
"37917",25418,"Knoxville","Knox County"
"38583",25269,"Sparta","White County"
"37303",25101,"Athens","McMinn County"
"37148",25029,"Portland","Sumner County"
"37865",24924,"Seymour","Sevier County"
"37334",24051,"Fayetteville","Lincoln County"
"38122",24014,"Memphis","Shelby County"
"37743",23822,"Greeneville","Greene County"
"37091",23650,"Lewisburg","Marshall County"
"38104",23408,"Memphis","Shelby County"
"37138",23297,"Old Hickory","Davidson County"
"38464",23178,"Lawrenceburg","Lawrence County"
"38106",23140,"Memphis","Shelby County"
"38141",23123,"Memphis","Shelby County"
"38119",22990,"Memphis","Shelby County"
"37415",22928,"Chattanooga","Hamilton County"
"37135",22693,"Nolensville","Williamson County"
"37215",22363,"Nashville","Davidson County"
"37615",22268,"Johnson City","Washington County"
"37862",22148,"Sevierville","Sevier County"
"38114",22112,"Memphis","Shelby County"
"37912",22051,"Knoxville","Knox County"
"37412",21840,"Chattanooga","Hamilton County"
"37821",21751,"Newport","Cocke County"
"38555",21627,"Crossville","Cumberland County"
"38133",21383,"Memphis","Shelby County"
"37932",21117,"Knoxville","Knox County"
"37745",20852,"Greeneville","Greene County"
"37212",20759,"Nashville","Davidson County"
"37857",20759,"Rogersville","Hawkins County"
"37127",20734,"Murfreesboro","Rutherford County"
"37321",20672,"Dayton","Rhea County"
"37914",20579,"Knoxville","Knox County"
"37208",20410,"Nashville","Davidson County"
"37774",19713,"Loudon","Loudon County"
"38242",19575,"Paris","Henry County"
"37069",19571,"Franklin","Williamson County"
"37216",19164,"Nashville","Davidson County"
"37015",19104,"Ashland City","Cheatham County"
"37203",18903,"Nashville","Davidson County"
"37411",18710,"Chattanooga","Hamilton County"
"38478",18545,"Pulaski","Giles County"
"37405",18456,"Chattanooga","Marion County"
"38351",18210,"Lexington","Henderson County"
"37725",18023,"Dandridge","Jefferson County"
"37771",17802,"Lenoir City","Loudon County"
"37766",17786,"La Follette","Campbell County"
"38108",17629,"Memphis","Shelby County"
"38372",17468,"Savannah","Hardin County"
"37179",17454,"Thompsons Station","Williamson County"
"37938",17366,"Knoxville","Knox County"
"37354",17273,"Madisonville","Monroe County"
"37204",17234,"Nashville","Davidson County"
"37813",17188,"Morristown","Hamblen County"
"37090",16982,"Lebanon","Wilson County"
"37909",16868,"Knoxville","Knox County"
"37188",16774,"White House","Robertson County"
"37748",16700,"Harriman","Roane County"
"38139",16627,"Germantown","Shelby County"
"37210",16509,"Nashville","Davidson County"
"37377",16508,"Signal Mountain","Hamilton County"
"37763",16377,"Kingston","Roane County"
"38112",16334,"Memphis","Shelby County"
"38261",16325,"Union City","Obion County"
"37874",15961,"Sweetwater","Monroe County"
"37083",15790,"Lafayette","Macon County"
"38343",15763,"Humboldt","Gibson County"
"38063",15569,"Ripley","Lauderdale County"
"38237",15517,"Martin","Weakley County"
"38019",15466,"Covington","Tipton County"
"37398",15207,"Winchester","Franklin County"
"37642",15138,"Church Hill","Hawkins County"
"37218",15115,"Nashville","Davidson County"
"37916",14864,"Knoxville","Knox County"
"37721",14522,"Corryton","Knox County"
"37617",14519,"Blountville","Sullivan County"
"38107",14509,"Memphis","Shelby County"
"37073",14500,"Greenbrier","Robertson County"
"38571",14217,"Crossville","Cumberland County"
"37341",14178,"Harrison","Hamilton County"
"37924",14092,"Knoxville","Knox County"
"37166",14051,"Smithville","DeKalb County"
"38103",13981,"Memphis","Shelby County"
"37760",13887,"Jefferson City","Jefferson County"
"37404",13848,"Chattanooga","Hamilton County"
"37416",13823,"Chattanooga","Hamilton County"
"37683",13686,"Mountain City","Johnson County"
"37663",13658,"Kingsport","Sullivan County"
"37772",13597,"Lenoir City","Loudon County"
"38120",13554,"Memphis","Shelby County"
"37777",13252,"Louisville","Blount County"
"37062",13194,"Fairview","Williamson County"
"38012",13095,"Brownsville","Haywood County"
"37406",12986,"Chattanooga","Hamilton County"
"37650",12980,"Erwin","Unicoi County"
"37618",12792,"Bluff City","Sullivan County"
"38358",12466,"Milan","Gibson County"
"38340",12256,"Henderson","Chester County"
"37854",12168,"Rockwood","Roane County"
"37327",12165,"Dunlap","Sequatchie County"
"38060",11713,"Oakland","Fayette County"
"38556",11684,"Jamestown","Fentress County"
"38004",11604,"Atoka","Tipton County"
"37367",11565,"Pikeville","Bledsoe County"
"38572",11514,"Crossville","Cumberland County"
"37879",11459,"Tazewell","Claiborne County"
"37186",11091,"Westmoreland","Sumner County"
"37807",11008,"Maynardville","Union County"
"37074",11006,"Hartsville","Trousdale County"
"37764",10901,"Kodak","Sevier County"
"38068",10801,"Somerville","Fayette County"
"38320",10773,"Camden","Benton County"
"37840",10451,"Oliver Springs","Morgan County"
"38011",10337,"Brighton","Tipton County"
"37757",10313,"Jacksboro","Campbell County"
"38201",10267,"McKenzie","Carroll County"
"37397",10180,"Whitwell","Marion County"
"37381",10167,"Spring City","Rhea County"
"38462",10145,"Hohenwald","Lewis County"
"38570",10113,"Livingston","Overton County"
"38058",10067,"Munford","Tipton County"
"37407",9827,"Chattanooga","Hamilton County"
"37841",9658,"Oneida","Scott County"
"37871",9487,"Strawberry Plains","Knox County"
"38558",9470,"Crossville","Cumberland County"
"37037",9284,"Christiana","Rutherford County"
"37641",9139,"Chuckey","Greene County"
"37185",9125,"Waverly","Humphreys County"
"37701",9073,"Alcoa","Blount County"
"38474",8931,"Mount Pleasant","Maury County"
"37825",8916,"New Tazewell","Claiborne County"
"37877",8857,"Talbott","Jefferson County"
"37686",8848,"Piney Flats","Sullivan County"
"37190",8766,"Woodbury","Cannon County"
"37322",8658,"Decatur","Meigs County"
"38574",8602,"Monterey","Putnam County"
"38059",8595,"Newbern","Dyer County"
"38008",8567,"Bolivar","Hardeman County"
"37385",8495,"Tellico Plains","Monroe County"
"38344",8453,"Huntingdon","Carroll County"
"37347",8452,"Jasper","Marion County"
"38375",8260,"Selmer","McNairy County"
"37861",8256,"Rutledge","Grainger County"
"38382",8190,"Trenton","Gibson County"
"37033",8136,"Centerville","Hickman County"
"38355",7946,"Medina","Madison County"
"37187",7888,"White Bluff","Dickson County"
"37058",7800,"Dover","Stewart County"
"37030",7595,"Carthage","Smith County"
"38028",7576,"Eads","Fayette County"
"37034",7546,"Chapel Hill","Marshall County"
"37146",7537,"Pleasant View","Robertson County"
"37331",7495,"Etowah","McMinn County"
"37890",7427,"White Pine","Jefferson County"
"37722",7417,"Cosby","Cocke County"
"38544",7283,"Baxter","Putnam County"
"37820",7269,"New Market","Jefferson County"
"37080",7106,"Joelton","Davidson County"
"38075",7103,"Whiteville","Hardeman County"
"37029",7042,"Burns","Dickson County"
"37184",6992,"Watertown","Wilson County"
"37330",6899,"Estill Springs","Franklin County"
"37887",6783,"Wartburg","Morgan County"
"38483",6733,"Summertown","Lawrence County"
"38562",6681,"Gainesboro","Jackson County"
"37046",6674,"College Grove","Williamson County"
"37101",6669,"McEwen","Humphreys County"
"37048",6613,"Cottontown","Sumner County"
"37742",6600,"Greenback","Loudon County"
"38310",6527,"Adamsville","McNairy County"
"37863",6525,"Pigeon Forge","Sevier County"
"37036",6507,"Charlotte","Dickson County"
"37403",6494,"Chattanooga","Hamilton County"
"37329",6460,"Englewood","McMinn County"
"37737",6458,"Friendsville","Blount County"
"37708",6365,"Bean Station","Grainger County"
"38485",6361,"Waynesboro","Wayne County"
"37380",6270,"South Pittsburg","Marion County"
"37025",6178,"Bon Aqua","Hickman County"
"37022",6163,"Bethpage","Sumner County"
"37220",6153,"Nashville","Davidson County"
"37681",6122,"Limestone","Washington County"
"37752",6102,"Harrogate","Claiborne County"
"37419",6092,"Chattanooga","Marion County"
"37096",6055,"Linden","Perry County"
"38126",6034,"Memphis","Shelby County"
"37098",5961,"Lyles","Hickman County"
"37885",5855,"Vonore","Monroe County"
"37032",5822,"Cedar Hill","Robertson County"
"38468",5748,"Leoma","Lawrence County"
"38225",5711,"Dresden","Weakley County"
"37082",5606,"Kingston Springs","Cheatham County"
"38006",5589,"Bells","Haywood County"
"37357",5552,"Morrison","Warren County"
"37665",5540,"Kingsport","Sullivan County"
"37705",5540,"Andersonville","Anderson County"
"38363",5509,"Parsons","Decatur County"
"37645",5486,"Mount Carmel","Hawkins County"
"37769",5469,"Rocky Top","Anderson County"
"37010",5429,"Adams","Robertson County"
"37153",5425,"Rockvale","Rutherford County"
"38023",5365,"Drummonds","Tipton County"
"37616",5344,"Afton","Greene County"
"37915",5318,"Knoxville","Knox County"
"37085",5304,"Lascassas","Rutherford County"
"37302",5239,"Apison","Hamilton County"
"37818",5218,"Mosheim","Greene County"
"38105",5215,"Memphis","Shelby County"
"37061",5205,"Erin","Houston County"
"37370",5204,"Riceville","McMinn County"
"37738",5197,"Gatlinburg","Sevier County"
"37711",5115,"Bulls Gap","Hawkins County"
"37307",5073,"Benton","Polk County"
"37020",4993,"Bell Buckle","Bedford County"
"37690",4966,"Telford","Washington County"
"37353",4926,"McDonald","Bradley County"
"37324",4907,"Decherd","Franklin County"
"37869",4877,"Sneedville","Hancock County"
"37336",4858,"Georgetown","Hamilton County"
"38040",4848,"Halls","Lauderdale County"
"37692",4769,"Unicoi","Unicoi County"
"38456",4732,"Ethridge","Lawrence County"
"38585",4643,"Spencer","Van Buren County"
"38079",4599,"Tiptonville","Lake County"
"37843",4549,"Parrottsville","Cocke County"
"38041",4525,"Henning","Lauderdale County"
"37886",4401,"Walland","Blount County"
"37846",4374,"Philadelphia","Loudon County"
"38469",4347,"Loretto","Lawrence County"
"38257",4344,"South Fulton","Obion County"
"38451",4320,"Culleoka","Maury County"
"37191",4317,"Woodlawn","Montgomery County"
"37714",4259,"Caryville","Campbell County"
"38001",4225,"Alamo","Crockett County"
"37873",4207,"Surgoinsville","Hawkins County"
"37180",4189,"Unionville","Bedford County"
"37811",4184,"Mooresburg","Hawkins County"
"37150",4183,"Red Boiling Springs","Macon County"
"37402",4167,"Chattanooga","Hamilton County"
"37687",4159,"Roan Mountain","Carter County"
"38551",4141,"Celina","Clay County"
"37189",4139,"Whites Creek","Davidson County"
"38049",4123,"Mason","Fayette County"
"38549",4115,"Byrdstown","Pickett County"
"38315",4091,"Bethel Springs","McNairy County"
"37031",4089,"Castalian Springs","Sumner County"
"37143",4069,"Pegram","Cheatham County"
"38330",4055,"Dyer","Gibson County"
"37387",4040,"Tracy City","Grundy County"
"37310",4009,"Charleston","Bradley County"
"37342",3968,"Hillsboro","Coffee County"
"37860",3966,"Russellville","Hamblen County"
"37826",3960,"Niota","McMinn County"
"37051",3948,"Cumberland Furnace","Dickson County"
"37375",3898,"Sewanee","Franklin County"
"38230",3897,"Greenfield","Weakley County"
"37049",3886,"Cross Plains","Robertson County"
"38052",3838,"Middleton","Hardeman County"
"38581",3816,"Rock Island","Warren County"
"37709",3746,"Blaine","Grainger County"
"37891",3741,"Whitesburg","Hamblen County"
"37035",3718,"Chapmansboro","Cheatham County"
"37880",3717,"Ten Mile","Meigs County"
"37658",3714,"Hampton","Carter County"
"38313",3710,"Beech Bluff","Madison County"
"38260",3684,"Troy","Obion County"
"37656",3652,"Fall Branch","Washington County"
"37870",3633,"Speedwell","Claiborne County"
"37888",3623,"Washburn","Grainger County"
"37362",3618,"Old Fort","Polk County"
"38066",3570,"Rossville","Fayette County"
"38425",3545,"Clifton","Wayne County"
"37640",3517,"Butler","Johnson County"
"37754",3513,"Heiskell","Anderson County"
"37409",3494,"Chattanooga","Hamilton County"
"38057",3488,"Moscow","Fayette County"
"37352",3452,"Lynchburg","Moore County"
"37410",3440,"Chattanooga","Hamilton County"
"38251",3432,"Puryear","Henry County"
"37853",3401,"Rockford","Blount County"
"38357",3399,"Michie","McNairy County"
"37779",3376,"Luttrell","Union County"
"38034",3343,"Friendship","Crockett County"
"37373",3332,"Sale Creek","Hamilton County"
"37014",3316,"Arrington","Williamson County"
"38449",3259,"Ardmore","Lincoln County"
"37144",3222,"Petersburg","Lincoln County"
"37183",3183,"Wartrace","Bedford County"
"38329",3177,"Decaturville","Decatur County"
"37338",3169,"Graysville","Bledsoe County"
"37756",3109,"Huntsville","Scott County"
"38256",3055,"Springville","Henry County"
"37852",3049,"Robbins","Scott County"
"38221",3042,"Big Sandy","Benton County"
"38316",2994,"Bradford","Gibson County"
"37134",2993,"New Johnsonville","Humphreys County"
"38477",2962,"Prospect","Giles County"
"38321",2953,"Cedar Grove","Carroll County"
"37755",2920,"Helenwood","Scott County"
"37847",2903,"Pioneer","Campbell County"
"37806",2884,"Mascot","Knox County"
"38356",2867,"Medon","Madison County"
"37770",2855,"Lancing","Morgan County"
"38450",2817,"Collinwood","Wayne County"
"38463",2802,"Iron City","Wayne County"
"38069",2791,"Stanton","Haywood County"
"37317",2779,"Copperhill","Polk County"
"37132",2757,"Murfreesboro","Rutherford County"
"37882",2729,"Townsend","Blount County"
"37408",2727,"Chattanooga","Hamilton County"
"37060",2714,"Eagleville","Rutherford County"
"37079",2711,"Indian Mound","Stewart County"
"38367",2702,"Ramer","McNairy County"
"38553",2694,"Clarkrange","Fentress County"
"37335",2692,"Flintville","Lincoln County"
"38326",2688,"Counce","Hardin County"
"38233",2685,"Kenton","Gibson County"
"37724",2673,"Cumberland Gap","Claiborne County"
"37308",2663,"Birchwood","Hamilton County"
"37614",2632,"Johnson City","Washington County"
"37047",2619,"Cornersville","Marshall County"
"37018",2608,"Beechgrove","Coffee County"
"38080",2591,"Ridgely","Lake County"
"37145",2556,"Pleasant Shade","Smith County"
"37345",2541,"Huntland","Franklin County"
"38563",2520,"Gordonsville","Smith County"
"38229",2517,"Gleason","Weakley County"
"37137",2477,"Nunnelly","Hickman County"
"38472",2463,"Lynnville","Giles County"
"38255",2449,"Sharon","Weakley County"
"38366",2444,"Pinson","Madison County"
"37762",2431,"Jellico","Campbell County"
"37356",2403,"Monteagle","Marion County"
"38317",2401,"Bruceton","Carroll County"
"37026",2397,"Bradyville","Cannon County"
"37902",2384,"Knoxville","Knox County"
"38222",2355,"Buchanan","Henry County"
"37012",2340,"Alexandria","DeKalb County"
"37318",2323,"Cowan","Franklin County"
"38341",2316,"Holladay","Benton County"
"37309",2312,"Calhoun","McMinn County"
"37228",2296,"Nashville","Davidson County"
"37809",2288,"Midway","Greene County"
"37095",2279,"Liberty","DeKalb County"
"37726",2258,"Deer Lodge","Morgan County"
"38015",2250,"Burlison","Tipton County"
"37306",2230,"Belvidere","Franklin County"
"37052",2183,"Cunningham","Montgomery County"
"38232",2182,"Hornbeak","Obion County"
"37149",2130,"Readyville","Rutherford County"
"37350",2128,"Lookout Mountain","Hamilton County"
"37872",2122,"Sunbright","Morgan County"
"37866",2090,"Sharps Chapel","Union County"
"37694",2069,"Watauga","Carter County"
"37810",2051,"Mohawk","Greene County"
"38368",2049,"Reagan","Henderson County"
"37178",2009,"Tennessee Ridge","Houston County"
"37727",1994,"Del Rio","Cocke County"
"37892",1980,"Winfield","Scott County"
"38374",1979,"Scotts Hill","Decatur County"
"37332",1977,"Evensville","Rhea County"
"37374",1971,"Sequatchie","Marion County"
"38220",1969,"Atwood","Carroll County"
"37361",1966,"Ocoee","Polk County"
"38573",1958,"Monroe","Overton County"
"38582",1936,"Silver Point","Putnam County"
"37365",1902,"Palmer","Grundy County"
"37097",1895,"Lobelville","Perry County"
"38488",1887,"Taft","Lincoln County"
"38568",1867,"Hilham","Overton County"
"37881",1829,"Thorn Hill","Grainger County"
"38231",1827,"Henry","Henry County"
"38240",1816,"Obion","Obion County"
"37391",1792,"Turtletown","Polk County"
"38334",1788,"Finger","McNairy County"
"37829",1782,"Oakdale","Morgan County"
"37315",1765,"Collegedale","Hamilton County"
"37360",1741,"Normandy","Bedford County"
"37328",1719,"Elora","Lincoln County"
"38547",1718,"Brush Creek","Smith County"
"38460",1715,"Goodspring","Giles County"
"38541",1714,"Allons","Overton County"
"38369",1700,"Rutherford","Gibson County"
"38482",1696,"Santa Fe","Maury County"
"37325",1685,"Delano","Polk County"
"37339",1670,"Gruetli Laager","Grundy County"
"37050",1667,"Cumberland City","Stewart County"
"38067",1660,"Saulsbury","Hardeman County"
"38381",1649,"Toone","Hardeman County"
"38391",1647,"Denmark","Madison County"
"37219",1609,"Nashville","Davidson County"
"38039",1600,"Grand Junction","Hardeman County"
"38379",1596,"Stantonville","McNairy County"
"37059",1588,"Dowelltown","DeKalb County"
"38037",1582,"Gates","Haywood County"
"38577",1579,"Pall Mall","Pickett County"
"37023",1569,"Big Rock","Stewart County"
"37201",1566,"Nashville","Davidson County"
"37171",1555,"Southside","Montgomery County"
"37729",1547,"Duff","Campbell County"
"38580",1543,"Rickman","Overton County"
"38560",1531,"Elmwood","Smith County"
"37141",1517,"Orlinda","Robertson County"
"37142",1516,"Palmyra","Montgomery County"
"37140",1501,"Only","Hickman County"
"38345",1497,"Huron","Henderson County"
"38579",1491,"Quebeck","White County"
"37181",1481,"Vanleer","Dickson County"
"38258",1468,"Trezevant","Carroll County"
"37828",1447,"Norris","Anderson County"
"38559",1410,"Doyle","Van Buren County"
"38545",1391,"Bloomington Springs","Jackson County"
"37313",1385,"Coalmont","Grundy County"
"37713",1378,"Bybee","Cocke County"
"38342",1328,"Hollow Rock","Carroll County"
"38337",1315,"Gadsden","Crockett County"
"38388",1307,"Wildersville","Henderson County"
"37118",1274,"Milton","Rutherford County"
"37723",1273,"Crab Orchard","Cumberland County"
"38390",1258,"Yuma","Carroll County"
"38461",1221,"Hampshire","Lewis County"
"38486",1195,"Westpoint","Lawrence County"
"38361",1185,"Morris Chapel","Hardin County"
"38548",1156,"Buffalo Valley","Putnam County"
"38476",1146,"Primm Springs","Williamson County"
"38587",1113,"Walling","White County"
"37301",1098,"Altamont","Grundy County"
"38588",1098,"Whitleyville","Jackson County"
"37359",1075,"Mulberry","Lincoln County"
"38473",1061,"Minor Hill","Giles County"
"37657",1057,"Flag Pond","Unicoi County"
"38567",1057,"Hickman","Smith County"
"38328",1054,"Darden","Henderson County"
"38332",1047,"Enville","Chester County"
"37710",1041,"Briceville","Anderson County"
"38565",1034,"Grimsley","Fentress County"
"37366",1026,"Pelham","Grundy County"
"38362",1002,"Oakfield","Madison County"
"38061",995,"Pocahontas","McNairy County"
"38253",991,"Rives","Obion County"
"37753",985,"Hartford","Cocke County"
"38371",967,"Sardis","Henderson County"
"38370",959,"Saltillo","Hardin County"
"38454",953,"Duck River","Hickman County"
"37688",945,"Shady Valley","Johnson County"
"37016",935,"Auburntown","Wilson County"
"38575",916,"Moss","Clay County"
"38241",901,"Palmersville","Weakley County"
"38505",887,"Cookeville","Putnam County"
"38481",883,"Saint Joseph","Lawrence County"
"38224",860,"Cottage Grove","Henry County"
"37175",850,"Stewart","Houston County"
"37019",844,"Belfast","Marshall County"
"37337",828,"Grandview","Rhea County"
"38311",815,"Bath Springs","Decatur County"
"38452",815,"Cypress Inn","Wayne County"
"37348",790,"Kelso","Lincoln County"
"38392",783,"Mercer","Madison County"
"37305",782,"Beersheba Springs","Grundy County"
"38076",779,"Williston","Fayette County"
"38487",779,"Williamsport","Maury County"
"38554",777,"Crawford","Overton County"
"38236",774,"Mansfield","Henry County"
"38475",746,"Olivehill","Hardin County"
"37715",744,"Clairfield","Claiborne County"
"37765",734,"Kyles Ford","Hancock County"
"38259",723,"Trimble","Obion County"
"37878",722,"Tallassee","Blount County"
"38152",719,"Memphis","Shelby County"
"38352",712,"Luray","Chester County"
"38348",673,"Lavinia","Carroll County"
"38042",655,"Hickory Valley","Hardeman County"
"37731",630,"Eidson","Hawkins County"
"38457",616,"Five Points","Lawrence County"
"37078",596,"Hurricane Mills","Humphreys County"
"38504",590,"Allardt","Fentress County"
"37057",573,"Dixon Springs","Trousdale County"
"38327",564,"Crump","Hardin County"
"37691",555,"Trade","Johnson County"
"38347",544,"Jacks Creek","Chester County"
"38044",528,"Hornsby","Hardeman County"
"38050",521,"Maury City","Crockett County"
"37682",520,"Milligan College","Carter County"
"37819",516,"Newcomb","Campbell County"
"38318",482,"Buena Vista","Carroll County"
"37326",467,"Ducktown","Polk County"
"37333",463,"Farner","Polk County"
"38459",460,"Frankewing","Lincoln County"
"37680",454,"Laurel Bloomery","Johnson County"
"37369",451,"Reliance","Polk County"
"37151",443,"Riddleton","Smith County"
"38339",437,"Guys","McNairy County"
"37845",428,"Petros","Morgan County"
"37028",421,"Bumpus Mills","Stewart County"
"38564",413,"Granville","Jackson County"
"38543",412,"Alpine","Overton County"
"37351",408,"Lupton City","Hamilton County"
"38380",370,"Sugar Tree","Decatur County"
"38387",361,"Westport","Carroll County"
"38453",347,"Dellrose","Lincoln County"
"37383",326,"Sewanee","Franklin County"
"38359",316,"Milledgeville","Hardin County"
"38569",309,"Lancaster","Smith County"
"37376",294,"Sherwood","Franklin County"
"38376",253,"Shiloh","Hardin County"
"38589",248,"Wilder","Fentress County"
"38471",244,"Lutts","Wayne County"
"38552",242,"Chestnut Mound","Smith County"
"38030",219,"Finley","Dyer County"
"38036",208,"Gallaway","Fayette County"
"38235",208,"McLemoresville","Carroll County"
"37340",207,"Guild","Marion County"
"38047",206,"Lenox","Dyer County"
"38226",199,"Dukedom","Weakley County"
"37396",192,"Whiteside","Marion County"
"38578",190,"Pleasant Hill","Cumberland County"
"38333",176,"Eva","Benton County"
"38054",159,"Millington","Shelby County"
"38455",157,"Elkton","Giles County"
"37848",135,"Powder Springs","Grainger County"
"37394",79,"Viola","Warren County"
"38338",79,"Gibson","Gibson County"
"38070",67,"Tigrett","Dyer County"
"38389",58,"Yorkville","Gibson County"
"38132",57,"Memphis","Shelby County"
"37165",38,"Slayden","Dickson County"
"38029",37,"Ellendale","Shelby County"
"37213",32,"Nashville","Davidson County"
"37732",32,"Elgin","Scott County"
"37730",29,"Eagan","Claiborne County"
"37719",10,"Coalfield","Morgan County"
"38021",10,"Crockett Mills","Crockett County"
"38046",10,"La Grange","Fayette County"